Image,MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
https://smartmls-assets.cdn-connectmls.com/pics/F951A6466E728005E0531401100AC190/HD_1681501461245_170562817_1.JPEG,170562817,"0  Country Ln. , Unit# 124",Berlin,ACTV,04/14/2023,CO,,1208,1208,4,1,1/1,"2 Car Garage, Attached Garage",2023,355,,0,,369900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/F951A6466E728005E0531401100AC190/HD_1681501998168_170562818_1.JPEG,170562818,"0  Country Ln. , Unit# 125",Berlin,ACTV,04/14/2023,CO,,1798,1798,6,3,2/1,"2 Car Garage, Attached Garage",2023,355,,0,,439900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/F9526DC53992A83FE053D501100A9C3E/HD_1681504005862_170562824_1.JPEG,170562824,"0  Country Ln. , Unit# 116",Berlin,ACTV,04/14/2023,CO,,1964,1964,7,3,3/0,"1 Car Garage, Attached Garage",2023,355,,0,,449900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/F951A6466E728005E0531401100AC190/HD_1681500784105_170562608_1.JPEG,170562608,"0  Country Ln. , Unit# 120",Berlin,ACTV,04/14/2023,CO,,1729,1729,6,3,2/1,"2 Car Garage, Attached Garage",2023,355,,0,,439900,0,R-11,,,400,Yes,Monthly,No,Berlin,Per Board of Ed,"Medical Facilities, Shopping/Mall",No,No,Not Applicable,04/14/2023,Central Air,Hot Air,Natural Gas,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/15391769C9B888E8E0631401100A5D8E/HD_1712217494751_Front_Of_17_O.JPEG,24008097,"27  Crow's Nest Ln. , Unit# 17-O",Danbury,ACTV,04/04/2024,CO,,1944,1332,6,2,1/1,"1 Car Garage, 2 Total Spaces, Under House Garage, Paved, Off Street Parking",1988,0,"Basketball Court, Club House, Guest Parking, Pool",,,339900,,RA,,"Programmable Thermostat, Storm Doors, Thermopane Windows",395,Yes,Monthly,No,Danbury,Shelter Rock,"Basketball Court, Bocci Court, Health Club, Lake, Library, Playground/Tot Lot, Private School(s), Shopping/Mall",Yes,No,Not Applicable,04/04/2024,Central Air,"Heat Pump, Hot Air",Electric,,,Broadview,"Heated, Pool House, In Ground Pool",,
https://smartmls-assets.cdn-connectmls.com/pics/ECB4B554C2C7769EE0531401100A55F5/HD_1667632077601_170533400_1.JPEG,170533400,"191  Foster St. , Unit# A-2",New Haven,NEW,03/27/2024,CO,,1464,1464,6,3,2/1,"2 Car Garage, Under House Garage",1916,518,,238630,,732000,999999999,IL,,,350,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,11/02/2022,Central Air,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/ECB4AD2927C82C96E0531401100A6772/HD_1667632248798_170533660_1.JPEG,170533660,"191  Foster St. , Unit# B-11",New Haven,NEW,03/27/2024,CO,,1302,1302,4,2,2/0,"0 Car Garage, 1 Total Spaces, Assigned Parking, Off Street Parking",1916,518,,238630,,520800,9486,IL,,,350,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,11/02/2022,Central Air,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/F8D1A6F3DFCF0B15E053D501100A5E31/HD_1680989834282_170560251_1.JPEG,170560251,"29  Sallys Way. , Unit# 23",Shelton,ACTV,04/08/2023,CO,,1594,1594,5,2,2/1,"2 Car Garage, Attached Garage, Paved",2023,362,,0,,519000,0,IA-2,,"Extra Insulation, Programmable Thermostat, Ridge Vents, Thermopane Windows",157,Yes,Monthly,No,Shelton,Per Board of Ed,,No,No,Not Applicable,,Central Air,Gas on Gas,Gas In Street,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/F8D1A6F3DFCF0B15E053D501100A5E31/HD_1680993455177_170560353_1.JPEG,170560353,"36  Sallys Way. , Unit# 14",Shelton,ACTV,04/08/2023,CO,,1551,1551,5,2,2/1,"1 Car Garage, Attached Garage, Paved",2021,362,,117530,,529900,2589,IA-2,,"Extra Insulation, Programmable Thermostat, Ridge Vents, Thermopane Windows",157,Yes,Monthly,No,Shelton,Per Board of Ed,,No,No,Not Applicable,09/11/2023,Central Air,Gas on Gas,Gas In Street,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/13DB03538D3D657CE0631401100A996D/HD_1710694635819_Image_08__1____Copy.JPEG,24004124,"245  Norwich New London Tpke. , Unit# 4",Montville,ACTV,03/16/2024,CO,,2292,2292,6,3,3/1,"1 Car Garage, 2 Total Spaces, Under House Garage, Paved, Driveway",2024,19,,99999999,,385000,99999999,Per Town,,,225,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Health Club, Library, Medical Facilities, Park, Playground/Tot Lot, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,,,Central Air,Heat Pump,Electric,,"Balcony, Porch, Gutters, Lighting, Stone Wall, Patio",,,,
https://smartmls-assets.cdn-connectmls.com/pics/F5ADE5A2B63CDB5CE053D501100A2303/HD_1677512182494_170551607_1.JPEG,170551607,"379  Whitfield St. , Unit# BN1834",Guilford,ACTV,02/27/2023,CO,,767,767,1,0,0/0,"1 Car Garage, Unassigned Parking, Parking Lot",2012,401,"Club House, Guest Parking, Pool, Security Services, Tennis Courts",18270,,24500,473,c,Ramps,,420,Yes,Monthly,No,Guilford,Per Board of Ed,"Bocci Court, Golf Course, Library, Medical Facilities, Park, Private Rec Facilities, Shopping/Mall, Tennis Courts",Yes,Yes,"Direct Waterfront, Frontage, Dock or Mooring, View",07/31/2023,None,None,Other,,"Balcony, Deck, Grill, Patio, Tennis Court",,"Pool House, In Ground Pool, Heated, Safety Fence, Tile",,
https://smartmls-assets.cdn-connectmls.com/pics/FA3B20FF640D624CE053D501100A0040/HD_1682519013332_170560252_1.JPEG,170560252,"27  Sallys Way. , Unit# 24",Shelton,ACTV,06/22/2023,CO,,1594,1594,5,2,2/1,"2 Car Garage, Attached Garage, Paved",2023,345,,0,,519000,0,IA-2,,"Extra Insulation, Programmable Thermostat, Ridge Vents, Thermopane Windows",157,Yes,Monthly,No,Shelton,Per Board of Ed,,No,No,Not Applicable,,Central Air,Gas on Gas,Gas In Street,,"Deck, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/12878DA8B0F7CEA0E063D501100A66E5/HD_1709219870309_IMG_4838.JPEG,24000510,"184  Pequot Ave. , Unit# 101",New London,ACTV,02/29/2024,CO,,713,713,3,2,2/0,"0 Car Garage, 1 Total Spaces, None, Paved, Off Street Parking",1962,36,"Elevator, Exercise Room/Health Club",77280,,155000,2878,Per Town,,,902.84,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Commuter Bus, Medical Facilities, Park",No,Yes,L. I. Sound Frontage,,Wall Unit,Radiator,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/F341A36858196C9AE0531401100ACCC7/HD_1674841231706_170547164_1.JPEG,170547164,"7  River Rd. , Unit# H-3",Greenwich,ACTV,01/27/2023,CO,,50,50,1,1,1/0,"0 Car Garage, Other",1988,432,,0,,98000,999999999,WD,,,167,Yes,Monthly,No,Greenwich,Cos Cob,,No,Yes,"Direct Waterfront, Harbor, Dock or Mooring",05/09/2023,None,None,Other,,,Central,,,
https://smartmls-assets.cdn-connectmls.com/pics/1535E17A7A6380E4E0631401100A956C/HD_1712173708359_imagejpeg_0_9_.JPEG,24007985,"2  Earls Ct. , Unit# F",Farmington,NEW,04/03/2024,CO,,1166,1166,5,2,2/0,"1 Car Garage, Attached Garage",1970,1,,144830,,311000,3506,RDM,,,479.42,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,Yes,No,Not Applicable,,Central Air,Hot Water,Natural Gas,,Patio,,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/15391769C9B888E8E0631401100A5D8E/HD_1712198209508_5CEFF931_586E_4F49_B1E6_991D53AA5CE8.JPEG,24007976,"174  Woodland St. , Unit# 1",Meriden,NEW,04/04/2024,CO,,1178,1178,4,2,1/1,"1 Car Garage, 1 Total Spaces, Attached Garage, Paved",2005,1,,90440,,210000,3146,R,,Thermopane Windows,305,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Electric,Per Board of Ed,Deck,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/E0913910B774EA5EE0531401100ACFB1/HD_1654286803147_170488885_1.JPEG,170488885,"1  Broad St. , Unit# 20F&G",Stamford,ACTV,10/12/2022,CO,,3207,3207,7,3,3/1,"2 Car Garage, Under House Garage",2009,691,"Gardening Area, Guest Parking, Pool, Security Services, Shuttle Service",957300,,1550000,25579,CCN,,"Programmable Thermostat, Thermopane Windows",3015,Yes,Monthly,No,Westhill,Davenport Ridge,"Library, Park, Shopping/Mall",Yes,No,View,01/13/2023,Central Air,"Heat Pump, Hot Air",Natural Gas,,Balcony,Rippowam,"Indoor Pool, Lap Pool, Heated",,
https://smartmls-assets.cdn-connectmls.com/pics/0204C922725AEA30E063D501100A69B6/HD_1691068090862_170588308_1.JPEG,170588308,"83  Columbus Pl. , Unit# E",Stamford,ACTV,03/11/2024,CO,,1140,1140,4,2,1/1,"0 Car Garage, None",1985,246,,215810,,399000,5365,RM1,,,300,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Commuter Bus, Golf Course, Health Club, Library, Park, Playground/Tot Lot, Walk to Bus Lines",No,No,,03/11/2024,Central Air,Heat Pump,Electric,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/029455833069A383E0631401100A714E/HD_1691684624130_170589271_1.JPEG,170589271,"31  Lombard Cir. , Unit# 19",North Haven,ACTV,08/08/2023,CO,,2370,2370,7,4,2/1,"2 Car Garage, Attached Garage",2024,239,,0,,550000,0,Special Residential,Raised Toilet,"Home Energy Rating, Extra Insulation, Programmable Thermostat, Thermopane Windows",343,Yes,Monthly,No,North Haven,Montowese,,No,No,Not Applicable,,Central Air,Heat Pump,Electric,North Haven,"Gutters, Patio, Underground Sprinkler, Underground Utilities",PBOE,,,
https://smartmls-assets.cdn-connectmls.com/pics/026BA9AC9C575FCFE063D501100A4F4E/HD_1691522909571_170589262_1.JPEG,170589262,"9  Lombard Cir. , Unit# 17",North Haven,ACTV,08/08/2023,CO,,1967,1967,7,3,2/1,"2 Car Garage, Attached Garage",2024,239,,0,,540000,0,special residential,Raised Toilet,"Home Energy Rating, Programmable Thermostat, Ridge Vents, Thermopane Windows",343,Yes,Monthly,No,North Haven,Per Board of Ed,,No,No,Not Applicable,,Central Air,Heat Pump,Electric,,Patio,,,,
https://smartmls-assets.cdn-connectmls.com/pics/019257B2F73A8095E063D501100AA911/HD_1690602888661_170587733_1.JPEG,170587733,"23  Seaton Rd. , Unit# 2",Stamford,ACTV,03/15/2024,CO,,763,763,4,2,1/0,"0 Car Garage, 1 Total Spaces, Parking Lot",1951,251,,126190,,214900,3185,R5,,,435,Yes,Monthly,Yes,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,03/15/2024,None,Radiator,Natural Gas,Per Board of Ed,,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/FBDA7644CCF33A2CE0531401100ABDEC/P_1684288474399_170570658_1.JPEG,170570658,"1  Gold St. , Unit# S",Hartford,ACTV,05/22/2023,CO,,2276,2276,5,2,2/0,"1 Car Garage, Under House Garage",1969,317,"Elevator, Guest Parking, Security Services",77175,,525000,5321,DT-2,,,2255,Yes,Monthly,No,Hartford,Per Board of Ed,"Library, Medical Facilities, Park, Public Transportation, Walk to Bus Lines",No,No,Not Applicable,05/16/2023,Central Air,Hot Water,Other,,Balcony,,,,
https://smartmls-assets.cdn-connectmls.com/pics/15391769C9B888E8E0631401100A5D8E/HD_1712183331072_1_copy.JPEG,24007898,98  Bodine Ct.,Stratford,NEW,04/03/2024,CP,,962,962,6,3,1/0,"0 Car Garage, 2 Total Spaces, None, Paved, Driveway",1943,1,,,,159900,,RM1,,,608,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Window Unit,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/0162F59227AB4A31E0631401100AC79C/HD_1690380468609_170586996_1.JPEG,170586996,"31  Woodland St. , Unit# 12F",Hartford,ACTV,07/26/2023,CO,,861,861,3,1,1/0,"1 Car Garage, Covered Garage, Parking Garage",1963,252,"Elevator, Exercise Room/Health Club, Pool, Security Services",29143,,179900,2009,MX-2,,Thermopane Windows,852,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Golf Course, Health Club, Medical Facilities, Public Transportation, Walk to Bus Lines",Yes,No,,02/16/2024,Central Air,Hot Air,Natural Gas,,,,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/01530FA24C362772E0631401100A06FC/HD_1690305643417_170586351_1.JPEG,170586351,"91  Hillside Ave. , Unit# B",Shelton,ACTV,07/25/2023,CO,,1588,1188,5,3,1/1,"1 Car Garage, Attached Garage",1989,253,None,106330,,399999,1858,R-4,,,230,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Library, Medical Facilities, Paddle Tennis, Park, Playground/Tot Lot, Private School(s), Public Rec Facilities, Public Transportation",No,No,Not Applicable,11/26/2023,Window Unit,"Baseboard, Heat Pump, Hot Water",Gas In Street,Per Board of Ed,,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/1045FCD8F330D0CEE0631401100A0637/HD_1706742897619_170578230_1.JPEG,170578230,"60  Wilton Rd. , Unit# Penthouse 4A",Westport,ACTV,06/26/2023,CO,,2437,2437,6,2,2/1,"2 Car Garage, Attached Garage, Unit Garage, Assigned Parking",2023,282,"Elevator, Exercise Room/Health Club, Guest Parking, Security Services",999999,,4750000,999999,GBD-R,,"Energy Star Rated, Extra Insulation, Generator, Programmable Thermostat, Thermopane Windows",1433,Yes,Monthly,No,Staples,Kings Highway,"Commuter Bus, Golf Course, Health Club, Library, Medical Facilities, Park, Public Rec Facilities, Tennis Courts",No,Yes,"Direct Waterfront, River, Water Community, View",,Central Air,"Hydro Air, Zoned",Natural Gas,,"Balcony, Terrace",Coleytown,,,
https://smartmls-assets.cdn-connectmls.com/pics/1045FCD8F330D0CEE0631401100A0637/HD_1706742588197_170578231_1.JPEG,170578231,"60  Wilton Rd. , Unit# Penthouse 4B",Westport,ACTV,06/26/2023,CO,,2437,2437,6,2,2/1,"2 Car Garage, Attached Garage, Unit Garage, Assigned Parking",2023,282,"Elevator, Exercise Room/Health Club, Guest Parking, Security Services",99999,,3880000,99999,GBD-R,,"Energy Star Rated, Extra Insulation, Generator, Programmable Thermostat, Thermopane Windows",1433,Yes,Monthly,No,Staples,Kings Highway,"Commuter Bus, Golf Course, Health Club, Library, Medical Facilities, Park, Public Rec Facilities, Tennis Courts",No,Yes,"Direct Waterfront, River, Water Community, View",,Central Air,"Hydro Air, Zoned",Natural Gas,,"Balcony, Terrace",Coleytown,,,
